0,5.85,0.13,0.24,0.0312
1,6.76,0.13,0.33,0.0429
2,5.83,0.24,0.25,0.06
3,6.89,0.36,0.17,0.0612
4,5.3,0.1,0.69,0.069
5,5.04,0.4,0.26,0.104
6,6.37,0.21,0.57,0.1197
7,5.95,0.7,0.19,0.133
8,6.7,0.91,0.16,0.1456
9,5.82,0.46,0.35,0.161
10,6.59,0.19,0.86,0.1634
11,5.88,0.42,0.4,0.168
12,5.53,0.31,0.6,0.186
13,5.87,0.28,0.83,0.2324
14,5.42,0.87,0.28,0.2436
15,5.1,0.89,0.3,0.267
16,6.24,0.67,0.4,0.268
17,5.31,0.34,0.89,0.3026
18,6.91,0.6,0.53,0.318
19,6.44,0.49,0.66,0.3234
20,5.63,0.42,0.95,0.399
21,6.42,0.71,0.57,0.4047
22,6.54,0.93,0.44,0.4092
23,6.44,0.95,0.5,0.475
24,6.24,0.6,0.85,0.51
25,5.9,0.96,0.7,0.672
26,5.14,0.97,0.87,0.8439
27,6.03,0.87,0.98,0.8526
28,6.26,0.97,0.94,0.9118
29,6.97,0.95,0.98,0.931
